fisc_wk_id1,cust_nbr1,actual_purchases,predictions,lr_predictions,matches
202340,391235,1,0,0,False
202340,404780,0,0,0,True
202340,409748,0,0,0,True
202340,413625,1,1,0,True
202340,430553,0,0,0,True
202340,451062,0,0,0,True
202340,454769,0,0,0,True
202340,456616,0,0,0,True
202340,460873,0,0,0,True
202340,532879,0,1,0,False
202340,534644,0,0,0,True
202340,538603,1,1,0,True
202340,550046,0,0,0,True
202340,556902,0,0,0,True
202340,578195,0,0,0,True
202340,579771,0,0,0,True
202340,591164,0,0,0,True
202340,595751,0,0,0,True
202340,602524,0,0,0,True
202340,608232,0,1,0,False
202340,626549,1,1,0,True
202340,627133,1,1,0,True
202340,672949,0,0,0,True
202340,694612,0,0,0,True
202340,702597,0,1,0,False
202340,706564,0,0,0,True
202340,710012,0,0,0,True
202340,718965,0,0,0,True
202340,723882,0,1,0,False
202340,732065,1,1,0,True
202340,732156,0,0,0,True
202340,732339,1,1,0,True
202340,732842,0,0,0,True
202340,742189,0,0,0,True
202340,745315,1,0,0,False
202340,749481,0,0,0,True
202340,760751,1,1,0,True
202340,769554,0,0,0,True
202340,773184,0,0,0,True
202340,779561,0,0,0,True
202340,782003,0,1,0,False
202340,795104,1,1,0,True
202340,814814,0,0,0,True
202340,818310,0,0,0,True
202340,824615,0,1,0,False
202340,828277,1,0,0,False
202340,857193,0,0,0,True
202340,863803,0,1,0,False
202340,869040,1,0,0,False
202340,869073,0,0,0,True
202340,875237,1,0,0,False
202340,907071,0,0,0,True
202340,910273,1,1,0,True
202340,912469,0,0,0,True
202340,919183,1,1,0,True
202340,919191,1,1,0,True
202340,929430,0,0,0,True
202340,931881,0,0,0,True
202340,934166,1,1,0,True
202340,938308,0,1,0,False
202340,938894,0,0,0,True
202340,948588,1,1,0,True
202340,951475,1,1,0,True
202340,955922,0,0,0,True
202340,967265,1,1,0,True
202340,969170,0,1,0,False
202340,976423,0,1,0,False
202340,976902,0,0,0,True
202340,977702,0,0,0,True
202340,981423,0,0,0,True
202340,983452,1,1,0,True
202340,987347,0,0,0,True
202340,990119,0,1,0,False
202340,993253,1,1,0,True
202340,995100,0,0,0,True
202340,11477,0,1,0,False
202340,11638,0,0,0,True
202340,13352,0,0,0,True
202340,13620,0,0,0,True
202340,13820,1,1,0,True
202340,13823,0,0,0,True
202340,16142,0,0,0,True
202340,16906,0,1,0,False
202340,17144,0,0,0,True
202340,17168,0,0,0,True
202340,17372,0,0,0,True
202340,18401,0,0,0,True
202340,20656,0,0,0,True
202340,20820,0,0,0,True
202340,21698,1,0,0,False
202340,22098,0,0,0,True
202340,24048,0,0,0,True
202340,24958,0,0,0,True
202340,25121,0,0,0,True
202340,25310,1,1,0,True
202340,25664,0,0,0,True
202340,25861,0,1,0,False
202340,26361,0,0,0,True
202340,26639,0,0,0,True
202340,27643,0,0,0,True
202340,27702,0,0,0,True
202340,27739,0,0,0,True
202340,28009,0,0,0,True
202340,28069,0,0,0,True
202340,28237,0,0,0,True
202340,28474,0,0,0,True
202340,28514,0,0,0,True
202340,30090,0,0,0,True
202340,31030,1,1,0,True
202340,31238,0,0,0,True
202340,31426,0,0,0,True
202340,31738,0,0,0,True
202340,31921,0,0,0,True
202340,32050,0,0,0,True
202340,32062,0,0,0,True
202340,126425,0,0,0,True
202340,257790,0,0,0,True
202340,286161,0,0,0,True
202340,386938,1,1,0,True
202340,411892,0,0,0,True
202340,426429,0,0,0,True
202340,429910,0,0,0,True
202340,452425,0,1,0,False
202340,491803,0,0,0,True
202340,552968,1,1,0,True
202340,566703,0,0,0,True
202340,606319,0,0,0,True
202340,610881,1,0,0,False
202340,692947,0,0,0,True
202340,706689,0,0,0,True
202340,706697,0,0,0,True
202340,732420,0,0,0,True
202340,733840,0,0,0,True
202340,825786,0,1,0,False
202340,847574,0,0,0,True
202340,852426,0,0,0,True
202340,862599,0,0,0,True
202340,891242,0,0,0,True
202340,895805,1,1,0,True
202340,943902,0,0,0,True
202340,947739,0,0,0,True
202340,969683,0,1,0,False
202340,974964,0,0,0,True
202340,13769,0,0,0,True
202340,14872,0,0,0,True
202340,16266,0,0,0,True
202340,17284,1,0,0,False
202340,19763,0,1,0,False
202340,20669,0,0,0,True
202340,21580,0,0,0,True
202340,23010,1,1,0,True
202340,24329,1,1,0,True
202340,25713,0,0,0,True
202340,27757,1,0,0,False
202340,28381,0,1,0,False
202340,28952,0,0,0,True
202340,29690,0,0,0,True
202340,29764,0,0,0,True
202340,30402,0,0,0,True
202340,70490,0,0,0,True
202340,183822,0,0,0,True
202340,311662,0,0,0,True
202340,411991,0,0,0,True
202340,412221,0,0,0,True
202340,419572,0,0,0,True
202340,549907,0,1,0,False
202340,623488,0,0,0,True
202340,751479,0,0,0,True
202340,869115,1,1,0,True
202340,891762,0,0,0,True
202340,935361,0,0,0,True
202340,8649,0,0,0,True
202340,10769,1,0,0,False
202340,13354,0,0,0,True
202340,13614,0,1,0,False
202340,14901,0,0,0,True
202340,15969,0,0,0,True
202340,16081,1,0,0,False
202340,18023,0,0,0,True
202340,20831,0,0,0,True
202340,21581,0,0,0,True
202340,21968,0,0,0,True
202340,22367,0,0,0,True
202340,26694,0,0,0,True
